Percentage of Emergency Department visits with Diagnosed COVID-19 in United States
Date generated: Thu Oct 31 2024 15:30:31 GMT-0500 (Central Daylight Time)
Date,Age Range,Daily Percent of ED Visits with diagnosed COVID-19,7-day Average of ED Visits with diagnosed COVID-19
2024-01-03,00 to 11,2.98,3
2024-01-03,12 to 15,1.22,1.32
2024-01-03,16 to 17,1.53,1.75
2024-01-03,18 to 24,2.47,2.36
2024-01-03,25 to 39,2.35,2.38
2024-01-03,40 to 49,2.51,2.62
2024-01-03,50 to 64,2.9,3.22
2024-01-03,65 to 74,3.68,4.35
2024-01-03,75+,5.22,6.09
2024-01-03,All Ages,3.04,3.32
2024-01-04,00 to 11,2.94,2.96
2024-01-04,12 to 15,1.12,1.28
2024-01-04,16 to 17,1.7,1.67
2024-01-04,18 to 24,2.38,2.33
2024-01-04,25 to 39,2.4,2.36
2024-01-04,40 to 49,2.42,2.59
2024-01-04,50 to 64,2.79,3.15
2024-01-04,65 to 74,3.74,4.23
2024-01-04,75+,4.99,5.87
2024-01-04,All Ages,2.99,3.25
2024-01-05,00 to 11,2.79,2.93
2024-01-05,12 to 15,1.17,1.23
2024-01-05,16 to 17,1.35,1.61
2024-01-05,18 to 24,2.12,2.29
2024-01-05,25 to 39,2.22,2.36
2024-01-05,40 to 49,2.34,2.56
2024-01-05,50 to 64,2.82,3.11
2024-01-05,65 to 74,3.53,4.1
2024-01-05,75+,4.85,5.67
2024-01-05,All Ages,2.88,3.18
2024-01-06,00 to 11,2.95,2.93
2024-01-06,12 to 15,1.05,1.18
2024-01-06,16 to 17,1.43,1.6
2024-01-06,18 to 24,2.1,2.26
2024-01-06,25 to 39,2.09,2.32
2024-01-06,40 to 49,2.25,2.51
2024-01-06,50 to 64,2.94,3.04
2024-01-06,65 to 74,4.03,4.02
2024-01-06,75+,5.3,5.5
2024-01-06,All Ages,2.97,3.12
2024-01-07,00 to 11,2.93,2.93
2024-01-07,12 to 15,1.32,1.2
2024-01-07,16 to 17,1.7,1.56
2024-01-07,18 to 24,2.21,2.23
2024-01-07,25 to 39,2.08,2.28
2024-01-07,40 to 49,2.43,2.48
2024-01-07,50 to 64,3.12,2.99
2024-01-07,65 to 74,4.18,3.93
2024-01-07,75+,5.44,5.35
2024-01-07,All Ages,3.06,3.06
2024-01-08,00 to 11,2.66,2.87
2024-01-08,12 to 15,1.16,1.2
2024-01-08,16 to 17,1.48,1.53
2024-01-08,18 to 24,2.03,2.21
2024-01-08,25 to 39,2.09,2.23
2024-01-08,40 to 49,2.31,2.41
2024-01-08,50 to 64,2.61,2.87
2024-01-08,65 to 74,3.49,3.77
2024-01-08,75+,4.72,5.1
2024-01-08,All Ages,2.75,2.96
2024-01-09,00 to 11,2.79,2.87
2024-01-09,12 to 15,1.45,1.21
2024-01-09,16 to 17,1.43,1.52
2024-01-09,18 to 24,2.04,2.2
2024-01-09,25 to 39,2.02,2.18
2024-01-09,40 to 49,2.27,2.36
2024-01-09,50 to 64,2.63,2.82
2024-01-09,65 to 74,3.27,3.69
2024-01-09,75+,4.46,4.99
2024-01-09,All Ages,2.68,2.91
2024-01-10,00 to 11,2.85,2.85
2024-01-10,12 to 15,1.31,1.23
2024-01-10,16 to 17,1.22,1.47
2024-01-10,18 to 24,1.95,2.12
2024-01-10,25 to 39,1.92,2.12
2024-01-10,40 to 49,2.12,2.3
2024-01-10,50 to 64,2.51,2.76
2024-01-10,65 to 74,3.24,3.62
2024-01-10,75+,4.33,4.85
2024-01-10,All Ages,2.6,2.84
2024-01-11,00 to 11,2.72,2.81
2024-01-11,12 to 15,1.2,1.24
2024-01-11,16 to 17,1.21,1.39
2024-01-11,18 to 24,1.84,2.04
2024-01-11,25 to 39,1.9,2.04
2024-01-11,40 to 49,2.06,2.25
2024-01-11,50 to 64,2.4,2.71
2024-01-11,65 to 74,2.95,3.51
2024-01-11,75+,4.13,4.73
2024-01-11,All Ages,2.49,2.77
2024-01-12,00 to 11,2.64,2.79
2024-01-12,12 to 15,1.05,1.22
2024-01-12,16 to 17,1.16,1.37
2024-01-12,18 to 24,1.78,1.99
2024-01-12,25 to 39,1.65,1.96
2024-01-12,40 to 49,1.81,2.18
2024-01-12,50 to 64,2.16,2.61
2024-01-12,65 to 74,2.87,3.41
2024-01-12,75+,3.92,4.59
2024-01-12,All Ages,2.32,2.69
2024-01-13,00 to 11,2.9,2.78
2024-01-13,12 to 15,1.41,1.27
2024-01-13,16 to 17,1.07,1.33
2024-01-13,18 to 24,1.7,1.94
2024-01-13,25 to 39,1.67,1.91
2024-01-13,40 to 49,1.89,2.13
2024-01-13,50 to 64,2.35,2.54
2024-01-13,65 to 74,3.24,3.31
2024-01-13,75+,4.55,4.49
2024-01-13,All Ages,2.52,2.63
2024-01-14,00 to 11,2.93,2.78
2024-01-14,12 to 15,1.63,1.3
2024-01-14,16 to 17,1.55,1.3
2024-01-14,18 to 24,1.77,1.88
2024-01-14,25 to 39,1.71,1.86
2024-01-14,40 to 49,1.95,2.07
2024-01-14,50 to 64,2.44,2.45
2024-01-14,65 to 74,3.33,3.2
2024-01-14,75+,4.51,4.37
2024-01-14,All Ages,2.56,2.57
2024-01-15,00 to 11,2.74,2.79
2024-01-15,12 to 15,1.43,1.34
2024-01-15,16 to 17,1.35,1.28
2024-01-15,18 to 24,1.72,1.83
2024-01-15,25 to 39,1.69,1.8
2024-01-15,40 to 49,1.88,2
2024-01-15,50 to 64,2.25,2.4
2024-01-15,65 to 74,3.02,3.12
2024-01-15,75+,4,4.26
2024-01-15,All Ages,2.4,2.51
2024-01-16,00 to 11,2.72,2.78
2024-01-16,12 to 15,1.66,1.37
2024-01-16,16 to 17,1.47,1.28
2024-01-16,18 to 24,1.74,1.79
2024-01-16,25 to 39,1.81,1.77
2024-01-16,40 to 49,1.91,1.95
2024-01-16,50 to 64,2.2,2.33
2024-01-16,65 to 74,2.68,3.04
2024-01-16,75+,3.7,4.15
2024-01-16,All Ages,2.33,2.46
2024-01-17,00 to 11,2.75,2.77
2024-01-17,12 to 15,1.53,1.41
2024-01-17,16 to 17,1.24,1.29
2024-01-17,18 to 24,1.61,1.74
2024-01-17,25 to 39,1.83,1.75
2024-01-17,40 to 49,1.83,1.91
2024-01-17,50 to 64,2.1,2.27
2024-01-17,65 to 74,2.59,2.94
2024-01-17,75+,3.66,4.05
2024-01-17,All Ages,2.28,2.41
2024-01-18,00 to 11,2.66,2.76
2024-01-18,12 to 15,1.35,1.43
2024-01-18,16 to 17,1.19,1.28
2024-01-18,18 to 24,1.5,1.69
2024-01-18,25 to 39,1.83,1.74
2024-01-18,40 to 49,1.72,1.85
2024-01-18,50 to 64,1.93,2.2
2024-01-18,65 to 74,2.48,2.87
2024-01-18,75+,3.52,3.96
2024-01-18,All Ages,2.18,2.36
2024-01-19,00 to 11,2.56,2.75
2024-01-19,12 to 15,1.16,1.45
2024-01-19,16 to 17,1.35,1.31
2024-01-19,18 to 24,1.5,1.65
2024-01-19,25 to 39,1.62,1.74
2024-01-19,40 to 49,1.58,1.82
2024-01-19,50 to 64,1.96,2.17
2024-01-19,65 to 74,2.48,2.81
2024-01-19,75+,3.34,3.87
2024-01-19,All Ages,2.09,2.33
2024-01-20,00 to 11,2.9,2.75
2024-01-20,12 to 15,1.09,1.41
2024-01-20,16 to 17,1.12,1.32
2024-01-20,18 to 24,1.38,1.6
2024-01-20,25 to 39,1.54,1.72
2024-01-20,40 to 49,1.75,1.8
2024-01-20,50 to 64,2,2.12
2024-01-20,65 to 74,2.69,2.74
2024-01-20,75+,3.58,3.74
2024-01-20,All Ages,2.17,2.28
2024-01-21,00 to 11,2.71,2.72
2024-01-21,12 to 15,1.65,1.42
2024-01-21,16 to 17,1.57,1.32
2024-01-21,18 to 24,1.45,1.56
2024-01-21,25 to 39,1.64,1.71
2024-01-21,40 to 49,1.76,1.78
2024-01-21,50 to 64,2.14,2.08
2024-01-21,65 to 74,2.92,2.69
2024-01-21,75+,3.78,3.65
2024-01-21,All Ages,2.27,2.24
2024-01-22,00 to 11,2.53,2.69
2024-01-22,12 to 15,1.38,1.41
2024-01-22,16 to 17,1.64,1.38
2024-01-22,18 to 24,1.57,1.54
2024-01-22,25 to 39,1.55,1.69
2024-01-22,40 to 49,1.77,1.76
2024-01-22,50 to 64,1.91,2.03
2024-01-22,65 to 74,2.42,2.6
2024-01-22,75+,3.05,3.5
2024-01-22,All Ages,2.05,2.19
2024-01-23,00 to 11,2.61,2.67
2024-01-23,12 to 15,1.65,1.42
2024-01-23,16 to 17,1.42,1.37
2024-01-23,18 to 24,1.61,1.52
2024-01-23,25 to 39,1.63,1.66
2024-01-23,40 to 49,1.72,1.74
2024-01-23,50 to 64,1.89,1.98
2024-01-23,65 to 74,2.38,2.55
2024-01-23,75+,3.24,3.44
2024-01-23,All Ages,2.09,2.16
2024-01-24,00 to 11,2.57,2.64
2024-01-24,12 to 15,1.4,1.4
2024-01-24,16 to 17,1.13,1.35
2024-01-24,18 to 24,1.73,1.54
2024-01-24,25 to 39,1.74,1.65
2024-01-24,40 to 49,1.78,1.73
2024-01-24,50 to 64,1.95,1.96
2024-01-24,65 to 74,2.46,2.53
2024-01-24,75+,3.3,3.38
2024-01-24,All Ages,2.14,2.13
2024-01-25,00 to 11,2.85,2.67
2024-01-25,12 to 15,1.37,1.4
2024-01-25,16 to 17,1.46,1.39
2024-01-25,18 to 24,1.63,1.56
2024-01-25,25 to 39,1.71,1.63
2024-01-25,40 to 49,1.66,1.72
2024-01-25,50 to 64,1.96,1.97
2024-01-25,65 to 74,2.35,2.51
2024-01-25,75+,3.07,3.32
2024-01-25,All Ages,2.11,2.12
2024-01-26,00 to 11,2.62,2.68
2024-01-26,12 to 15,1.26,1.41
2024-01-26,16 to 17,1.32,1.39
2024-01-26,18 to 24,1.39,1.54
2024-01-26,25 to 39,1.41,1.6
2024-01-26,40 to 49,1.62,1.72
2024-01-26,50 to 64,1.77,1.94
2024-01-26,65 to 74,2.31,2.49
2024-01-26,75+,3.02,3.27
2024-01-26,All Ages,1.96,2.1
2024-01-27,00 to 11,2.82,2.67
2024-01-27,12 to 15,1.52,1.45
2024-01-27,16 to 17,1.45,1.42
2024-01-27,18 to 24,1.4,1.54
2024-01-27,25 to 39,1.5,1.6
2024-01-27,40 to 49,1.66,1.71
2024-01-27,50 to 64,1.94,1.93
2024-01-27,65 to 74,2.65,2.48
2024-01-27,75+,3.38,3.24
2024-01-27,All Ages,2.12,2.1
2024-01-28,00 to 11,2.72,2.67
2024-01-28,12 to 15,1.64,1.45
2024-01-28,16 to 17,1.67,1.44
2024-01-28,18 to 24,1.49,1.55
2024-01-28,25 to 39,1.53,1.58
2024-01-28,40 to 49,1.79,1.72
2024-01-28,50 to 64,2.06,1.92
2024-01-28,65 to 74,2.73,2.46
2024-01-28,75+,3.47,3.21
2024-01-28,All Ages,2.18,2.09
2024-01-29,00 to 11,2.23,2.62
2024-01-29,12 to 15,1.63,1.5
2024-01-29,16 to 17,1.72,1.45
2024-01-29,18 to 24,1.51,1.54
2024-01-29,25 to 39,1.49,1.57
2024-01-29,40 to 49,1.56,1.68
2024-01-29,50 to 64,1.8,1.91
2024-01-29,65 to 74,2.22,2.43
2024-01-29,75+,2.92,3.19
2024-01-29,All Ages,1.92,2.07
2024-01-30,00 to 11,2.51,2.61
2024-01-30,12 to 15,1.42,1.46
2024-01-30,16 to 17,1.54,1.47
2024-01-30,18 to 24,1.52,1.52
2024-01-30,25 to 39,1.66,1.58
2024-01-30,40 to 49,1.63,1.67
2024-01-30,50 to 64,1.73,1.88
2024-01-30,65 to 74,2.23,2.41
2024-01-30,75+,2.93,3.14
2024-01-30,All Ages,1.98,2.05
2024-01-31,00 to 11,2.48,2.59
2024-01-31,12 to 15,1.47,1.47
2024-01-31,16 to 17,1.67,1.55
2024-01-31,18 to 24,1.56,1.5
2024-01-31,25 to 39,1.58,1.56
2024-01-31,40 to 49,1.71,1.66
2024-01-31,50 to 64,1.76,1.86
2024-01-31,65 to 74,2,2.34
2024-01-31,75+,2.85,3.08
2024-01-31,All Ages,1.94,2.02
2024-02-01,00 to 11,2.59,2.56
2024-02-01,12 to 15,1.62,1.51
2024-02-01,16 to 17,1.47,1.55
2024-02-01,18 to 24,1.46,1.48
2024-02-01,25 to 39,1.51,1.53
2024-02-01,40 to 49,1.61,1.65
2024-02-01,50 to 64,1.7,1.82
2024-02-01,65 to 74,2.05,2.3
2024-02-01,75+,2.71,3.02
2024-02-01,All Ages,1.91,2
2024-02-02,00 to 11,2.56,2.55
2024-02-02,12 to 15,1.66,1.56
2024-02-02,16 to 17,1.45,1.57
2024-02-02,18 to 24,1.45,1.48
2024-02-02,25 to 39,1.41,1.53
2024-02-02,40 to 49,1.53,1.64
2024-02-02,50 to 64,1.75,1.82
2024-02-02,65 to 74,2.05,2.26
2024-02-02,75+,2.97,3.02
2024-02-02,All Ages,1.93,1.99
2024-02-03,00 to 11,2.53,2.51
2024-02-03,12 to 15,1.71,1.58
2024-02-03,16 to 17,1.54,1.58
2024-02-03,18 to 24,1.26,1.46
2024-02-03,25 to 39,1.41,1.52
2024-02-03,40 to 49,1.57,1.63
2024-02-03,50 to 64,1.85,1.8
2024-02-03,65 to 74,2.29,2.21
2024-02-03,75+,3.25,3
2024-02-03,All Ages,1.99,1.97
2024-02-04,00 to 11,2.4,2.47
2024-02-04,12 to 15,1.82,1.6
2024-02-04,16 to 17,1.75,1.59
2024-02-04,18 to 24,1.46,1.46
2024-02-04,25 to 39,1.6,1.53
2024-02-04,40 to 49,1.66,1.61
2024-02-04,50 to 64,1.92,1.79
2024-02-04,65 to 74,2.52,2.19
2024-02-04,75+,3.16,2.96
2024-02-04,All Ages,2.06,1.96
2024-02-05,00 to 11,2.39,2.49
2024-02-05,12 to 15,1.64,1.61
2024-02-05,16 to 17,1.75,1.6
2024-02-05,18 to 24,1.48,1.46
2024-02-05,25 to 39,1.55,1.54
2024-02-05,40 to 49,1.58,1.61
2024-02-05,50 to 64,1.69,1.77
2024-02-05,65 to 74,2.2,2.18
2024-02-05,75+,2.86,2.95
2024-02-05,All Ages,1.93,1.96
2024-02-06,00 to 11,2.37,2.47
2024-02-06,12 to 15,1.62,1.64
2024-02-06,16 to 17,1.69,1.62
2024-02-06,18 to 24,1.58,1.47
2024-02-06,25 to 39,1.55,1.52
2024-02-06,40 to 49,1.57,1.6
2024-02-06,50 to 64,1.71,1.76
2024-02-06,65 to 74,2.2,2.18
2024-02-06,75+,2.88,2.95
2024-02-06,All Ages,1.94,1.95
2024-02-07,00 to 11,2.31,2.45
2024-02-07,12 to 15,1.53,1.65
2024-02-07,16 to 17,1.5,1.6
2024-02-07,18 to 24,1.64,1.48
2024-02-07,25 to 39,1.63,1.53
2024-02-07,40 to 49,1.75,1.61
2024-02-07,50 to 64,1.78,1.77
2024-02-07,65 to 74,2.16,2.2
2024-02-07,75+,2.88,2.95
2024-02-07,All Ages,1.97,1.96
2024-02-08,00 to 11,2.21,2.39
2024-02-08,12 to 15,1.59,1.64
2024-02-08,16 to 17,1.5,1.6
2024-02-08,18 to 24,1.6,1.5
2024-02-08,25 to 39,1.5,1.52
2024-02-08,40 to 49,1.57,1.6
2024-02-08,50 to 64,1.69,1.77
2024-02-08,65 to 74,2.16,2.22
2024-02-08,75+,2.8,2.96
2024-02-08,All Ages,1.88,1.95
2024-02-09,00 to 11,2.31,2.36
2024-02-09,12 to 15,1.45,1.62
2024-02-09,16 to 17,1.39,1.59
2024-02-09,18 to 24,1.32,1.48
2024-02-09,25 to 39,1.33,1.51
2024-02-09,40 to 49,1.57,1.61
2024-02-09,50 to 64,1.6,1.75
2024-02-09,65 to 74,2.2,2.24
2024-02-09,75+,2.76,2.93
2024-02-09,All Ages,1.83,1.94
2024-02-10,00 to 11,2.33,2.33
2024-02-10,12 to 15,1.59,1.6
2024-02-10,16 to 17,1.75,1.62
2024-02-10,18 to 24,1.22,1.48
2024-02-10,25 to 39,1.37,1.51
2024-02-10,40 to 49,1.68,1.62
2024-02-10,50 to 64,1.87,1.75
2024-02-10,65 to 74,2.58,2.28
2024-02-10,75+,3.2,2.92
2024-02-10,All Ages,1.99,1.94
2024-02-11,00 to 11,2.38,2.33
2024-02-11,12 to 15,1.71,1.59
2024-02-11,16 to 17,1.43,1.58
2024-02-11,18 to 24,1.4,1.47
2024-02-11,25 to 39,1.47,1.49
2024-02-11,40 to 49,1.58,1.61
2024-02-11,50 to 64,1.91,1.75
2024-02-11,65 to 74,2.62,2.29
2024-02-11,75+,3.53,2.97
2024-02-11,All Ages,2.06,1.94
2024-02-12,00 to 11,1.97,2.26
2024-02-12,12 to 15,1.61,1.58
2024-02-12,16 to 17,1.45,1.53
2024-02-12,18 to 24,1.31,1.44
2024-02-12,25 to 39,1.34,1.46
2024-02-12,40 to 49,1.46,1.59
2024-02-12,50 to 64,1.68,1.74
2024-02-12,65 to 74,2.11,2.27
2024-02-12,75+,2.85,2.96
2024-02-12,All Ages,1.78,1.91
2024-02-13,00 to 11,2.06,2.22
2024-02-13,12 to 15,1.55,1.57
2024-02-13,16 to 17,1.5,1.5
2024-02-13,18 to 24,1.35,1.41
2024-02-13,25 to 39,1.44,1.44
2024-02-13,40 to 49,1.44,1.57
2024-02-13,50 to 64,1.63,1.73
2024-02-13,65 to 74,2.1,2.26
2024-02-13,75+,2.61,2.93
2024-02-13,All Ages,1.77,1.89
2024-02-14,00 to 11,2.08,2.19
2024-02-14,12 to 15,1.33,1.55
2024-02-14,16 to 17,1.29,1.47
2024-02-14,18 to 24,1.53,1.39
2024-02-14,25 to 39,1.38,1.4
2024-02-14,40 to 49,1.44,1.53
2024-02-14,50 to 64,1.63,1.71
2024-02-14,65 to 74,2.08,2.25
2024-02-14,75+,2.55,2.88
2024-02-14,All Ages,1.76,1.86
2024-02-15,00 to 11,1.99,2.15
2024-02-15,12 to 15,1.05,1.46
2024-02-15,16 to 17,1.37,1.45
2024-02-15,18 to 24,1.3,1.35
2024-02-15,25 to 39,1.33,1.38
2024-02-15,40 to 49,1.33,1.49
2024-02-15,50 to 64,1.6,1.69
2024-02-15,65 to 74,2.09,2.24
2024-02-15,75+,2.58,2.85
2024-02-15,All Ages,1.69,1.83
2024-02-16,00 to 11,1.9,2.1
2024-02-16,12 to 15,0.98,1.4
2024-02-16,16 to 17,1.24,1.43
2024-02-16,18 to 24,1.14,1.32
2024-02-16,25 to 39,1.2,1.36
2024-02-16,40 to 49,1.39,1.47
2024-02-16,50 to 64,1.48,1.68
2024-02-16,65 to 74,2.02,2.21
2024-02-16,75+,2.58,2.82
2024-02-16,All Ages,1.63,1.81
2024-02-17,00 to 11,1.93,2.04
2024-02-17,12 to 15,1.14,1.35
2024-02-17,16 to 17,1.4,1.39
2024-02-17,18 to 24,1.09,1.3
2024-02-17,25 to 39,1.15,1.33
2024-02-17,40 to 49,1.36,1.43
2024-02-17,50 to 64,1.62,1.65
2024-02-17,65 to 74,2.27,2.17
2024-02-17,75+,3.02,2.8
2024-02-17,All Ages,1.72,1.77
2024-02-18,00 to 11,1.87,1.97
2024-02-18,12 to 15,1.28,1.3
2024-02-18,16 to 17,1.58,1.4
2024-02-18,18 to 24,1.16,1.27
2024-02-18,25 to 39,1.24,1.3
2024-02-18,40 to 49,1.39,1.4
2024-02-18,50 to 64,1.67,1.62
2024-02-18,65 to 74,2.44,2.15
2024-02-18,75+,3.04,2.74
2024-02-18,All Ages,1.77,1.73
2024-02-19,00 to 11,1.75,1.93
2024-02-19,12 to 15,1.2,1.23
2024-02-19,16 to 17,1.22,1.37
2024-02-19,18 to 24,1.17,1.25
2024-02-19,25 to 39,1.19,1.28
2024-02-19,40 to 49,1.3,1.38
2024-02-19,50 to 64,1.53,1.59
2024-02-19,65 to 74,2,2.13
2024-02-19,75+,2.71,2.72
2024-02-19,All Ages,1.63,1.71
2024-02-20,00 to 11,1.7,1.88
2024-02-20,12 to 15,1.18,1.17
2024-02-20,16 to 17,1.18,1.32
2024-02-20,18 to 24,1.12,1.21
2024-02-20,25 to 39,1.28,1.26
2024-02-20,40 to 49,1.26,1.35
2024-02-20,50 to 64,1.5,1.57
2024-02-20,65 to 74,1.93,2.11
2024-02-20,75+,2.52,2.7
2024-02-20,All Ages,1.58,1.68
2024-02-21,00 to 11,1.73,1.83
2024-02-21,12 to 15,1.09,1.13
2024-02-21,16 to 17,1.08,1.28
2024-02-21,18 to 24,1.26,1.18
2024-02-21,25 to 39,1.29,1.24
2024-02-21,40 to 49,1.21,1.32
2024-02-21,50 to 64,1.53,1.56
2024-02-21,65 to 74,1.88,2.08
2024-02-21,75+,2.44,2.68
2024-02-21,All Ages,1.58,1.65
2024-02-22,00 to 11,1.74,1.8
2024-02-22,12 to 15,0.84,1.09
2024-02-22,16 to 17,0.88,1.21
2024-02-22,18 to 24,1.21,1.16
2024-02-22,25 to 39,1.15,1.22
2024-02-22,40 to 49,1.29,1.31
2024-02-22,50 to 64,1.42,1.53
2024-02-22,65 to 74,1.81,2.04
2024-02-22,75+,2.39,2.65
2024-02-22,All Ages,1.52,1.63
2024-02-23,00 to 11,1.56,1.75
2024-02-23,12 to 15,0.75,1.06
2024-02-23,16 to 17,0.97,1.17
2024-02-23,18 to 24,1.07,1.15
2024-02-23,25 to 39,1.1,1.2
2024-02-23,40 to 49,1.16,1.28
2024-02-23,50 to 64,1.41,1.52
2024-02-23,65 to 74,1.68,1.98
2024-02-23,75+,2.46,2.63
2024-02-23,All Ages,1.46,1.6
2024-02-24,00 to 11,1.61,1.71
2024-02-24,12 to 15,0.8,1.02
2024-02-24,16 to 17,0.9,1.11
2024-02-24,18 to 24,0.99,1.14
2024-02-24,25 to 39,0.97,1.18
2024-02-24,40 to 49,1.15,1.25
2024-02-24,50 to 64,1.38,1.49
2024-02-24,65 to 74,2.11,1.96
2024-02-24,75+,2.6,2.58
2024-02-24,All Ages,1.48,1.57
2024-02-25,00 to 11,1.44,1.65
2024-02-25,12 to 15,0.93,0.98
2024-02-25,16 to 17,0.92,1.03
2024-02-25,18 to 24,1.1,1.13
2024-02-25,25 to 39,1.04,1.15
2024-02-25,40 to 49,1.27,1.24
2024-02-25,50 to 64,1.55,1.48
2024-02-25,65 to 74,2.03,1.91
2024-02-25,75+,2.8,2.55
2024-02-25,All Ages,1.54,1.54
2024-02-26,00 to 11,1.25,1.57
2024-02-26,12 to 15,0.78,0.92
2024-02-26,16 to 17,0.87,0.98
2024-02-26,18 to 24,1.09,1.12
2024-02-26,25 to 39,0.97,1.12
2024-02-26,40 to 49,1.11,1.21
2024-02-26,50 to 64,1.32,1.44
2024-02-26,65 to 74,1.6,1.85
2024-02-26,75+,2.31,2.49
2024-02-26,All Ages,1.33,1.5
2024-02-27,00 to 11,1.42,1.53
2024-02-27,12 to 15,0.76,0.85
2024-02-27,16 to 17,0.95,0.94
2024-02-27,18 to 24,1.08,1.12
2024-02-27,25 to 39,0.98,1.07
2024-02-27,40 to 49,1.11,1.19
2024-02-27,50 to 64,1.29,1.41
2024-02-27,65 to 74,1.62,1.8
2024-02-27,75+,2.32,2.46
2024-02-27,All Ages,1.35,1.46
2024-02-28,00 to 11,1.2,1.45
2024-02-28,12 to 15,0.89,0.82
2024-02-28,16 to 17,1.04,0.94
2024-02-28,18 to 24,0.94,1.07
2024-02-28,25 to 39,0.98,1.03
2024-02-28,40 to 49,1.07,1.16
2024-02-28,50 to 64,1.19,1.36
2024-02-28,65 to 74,1.65,1.77
2024-02-28,75+,2.24,2.43
2024-02-28,All Ages,1.29,1.42
2024-02-29,00 to 11,1.19,1.38
2024-02-29,12 to 15,0.67,0.79
2024-02-29,16 to 17,0.78,0.92
2024-02-29,18 to 24,0.9,1.03
2024-02-29,25 to 39,0.86,0.99
2024-02-29,40 to 49,0.95,1.12
2024-02-29,50 to 64,1.21,1.33
2024-02-29,65 to 74,1.59,1.74
2024-02-29,75+,2.05,2.39
2024-02-29,All Ages,1.21,1.37
2024-03-01,00 to 11,1.12,1.32
2024-03-01,12 to 15,0.58,0.77
2024-03-01,16 to 17,0.73,0.89
2024-03-01,18 to 24,0.75,0.98
2024-03-01,25 to 39,0.83,0.95
2024-03-01,40 to 49,0.87,1.08
2024-03-01,50 to 64,1.07,1.29
2024-03-01,65 to 74,1.38,1.7
2024-03-01,75+,1.95,2.31
2024-03-01,All Ages,1.12,1.33
2024-03-02,00 to 11,1.23,1.27
2024-03-02,12 to 15,0.58,0.75
2024-03-02,16 to 17,0.57,0.85
2024-03-02,18 to 24,0.92,0.97
2024-03-02,25 to 39,0.73,0.92
2024-03-02,40 to 49,0.92,1.05
2024-03-02,50 to 64,1.2,1.26
2024-03-02,65 to 74,1.77,1.66
2024-03-02,75+,2.24,2.27
2024-03-02,All Ages,1.22,1.29
2024-03-03,00 to 11,1.17,1.23
2024-03-03,12 to 15,0.62,0.71
2024-03-03,16 to 17,0.74,0.83
2024-03-03,18 to 24,0.74,0.92
2024-03-03,25 to 39,0.81,0.89
2024-03-03,40 to 49,0.83,0.99
2024-03-03,50 to 64,1.17,1.21
2024-03-03,65 to 74,1.65,1.61
2024-03-03,75+,2.25,2.2
2024-03-03,All Ages,1.18,1.25
2024-03-04,00 to 11,1,1.19
2024-03-04,12 to 15,0.58,0.68
2024-03-04,16 to 17,0.75,0.81
2024-03-04,18 to 24,0.74,0.87
2024-03-04,25 to 39,0.77,0.86
2024-03-04,40 to 49,0.75,0.93
2024-03-04,50 to 64,1.06,1.17
2024-03-04,65 to 74,1.35,1.57
2024-03-04,75+,2.08,2.16
2024-03-04,All Ages,1.07,1.2
2024-03-05,00 to 11,1.13,1.15
2024-03-05,12 to 15,0.6,0.65
2024-03-05,16 to 17,0.55,0.74
2024-03-05,18 to 24,0.81,0.83
2024-03-05,25 to 39,0.8,0.83
2024-03-05,40 to 49,0.85,0.89
2024-03-05,50 to 64,0.95,1.12
2024-03-05,65 to 74,1.22,1.51
2024-03-05,75+,1.93,2.1
2024-03-05,All Ages,1.05,1.16
2024-03-06,00 to 11,1.03,1.12
2024-03-06,12 to 15,0.51,0.59
2024-03-06,16 to 17,0.71,0.69
2024-03-06,18 to 24,0.67,0.79
2024-03-06,25 to 39,0.74,0.79
2024-03-06,40 to 49,0.79,0.85
2024-03-06,50 to 64,0.96,1.08
2024-03-06,65 to 74,1.32,1.46
2024-03-06,75+,1.8,2.04
2024-03-06,All Ages,1.01,1.12
2024-03-07,00 to 11,0.97,1.09
2024-03-07,12 to 15,0.47,0.56
2024-03-07,16 to 17,0.5,0.65
2024-03-07,18 to 24,0.69,0.76
2024-03-07,25 to 39,0.67,0.76
2024-03-07,40 to 49,0.69,0.81
2024-03-07,50 to 64,0.86,1.03
2024-03-07,65 to 74,1.33,1.42
2024-03-07,75+,1.8,2
2024-03-07,All Ages,0.95,1.08
2024-03-08,00 to 11,1,1.08
2024-03-08,12 to 15,0.5,0.55
2024-03-08,16 to 17,0.56,0.63
2024-03-08,18 to 24,0.6,0.74
2024-03-08,25 to 39,0.59,0.73
2024-03-08,40 to 49,0.68,0.78
2024-03-08,50 to 64,0.86,1
2024-03-08,65 to 74,1.18,1.39
2024-03-08,75+,1.66,1.96
2024-03-08,All Ages,0.91,1.05
2024-03-09,00 to 11,1.02,1.05
2024-03-09,12 to 15,0.44,0.54
2024-03-09,16 to 17,0.65,0.64
2024-03-09,18 to 24,0.51,0.68
2024-03-09,25 to 39,0.53,0.7
2024-03-09,40 to 49,0.65,0.75
2024-03-09,50 to 64,0.93,0.97
2024-03-09,65 to 74,1.22,1.32
2024-03-09,75+,1.92,1.92
2024-03-09,All Ages,0.93,1.02
2024-03-10,00 to 11,0.91,1.01
2024-03-10,12 to 15,0.43,0.51
2024-03-10,16 to 17,0.56,0.62
2024-03-10,18 to 24,0.53,0.66
